image_name,xmin,xmax,ymin,ymax,class_id
2_0_54_2018 04 men_4416_2_aug_3124.jpg,36,99,1,100,1
2_0_54_2018 04 men_4416_2_aug_3124.jpg,133,197,1,103,1
2_0_54_2018 04 men_4416_2_aug_3124.jpg,226,289,9,112,1
2_0_54_2018 04 men_4416_2_aug_3124.jpg,319,379,13,114,1
2_0_54_2018 04 men_4416_2_aug_3124.jpg,413,474,24,124,1
2_0_54_2018 04 men_4416_2_aug_3124.jpg,511,570,28,122,1
2_0_54_2018 04 men_4416_2_aug_3124.jpg,603,660,34,124,1
2_0_54_2018 04 men_4416_2_aug_3124.jpg,701,753,38,124,1
10_0_64_2018 04 men_1844_1_aug_2425.jpg,26,73,8,98,1
10_0_64_2018 04 men_1844_1_aug_2425.jpg,111,158,11,102,1
10_0_64_2018 04 men_1844_1_aug_2425.jpg,198,244,16,107,1
10_0_64_2018 04 men_1844_1_aug_2425.jpg,282,330,20,112,1
10_0_64_2018 04 men_1844_1_aug_2425.jpg,374,418,15,113,1
FOTO 2018-01_4022_2_aug_6138.jpg,1,53,20,155,1
FOTO 2018-01_4022_2_aug_6138.jpg,114,167,24,153,1
FOTO 2018-01_4022_2_aug_6138.jpg,230,279,27,159,1
FOTO 2018-01_4022_2_aug_6138.jpg,346,396,29,163,1
FOTO 2018-01_4022_2_aug_6138.jpg,452,507,39,174,1
FOTO 2018-01_1453_1_aug_903.jpg,6,37,15,76,1
FOTO 2018-01_1453_1_aug_903.jpg,64,94,12,75,1
FOTO 2018-01_1453_1_aug_903.jpg,121,152,10,77,1
FOTO 2018-01_1453_1_aug_903.jpg,175,206,9,74,1
FOTO 2018-01_1453_1_aug_903.jpg,233,263,8,70,1
FOTO 2018-01_1453_1_aug_903.jpg,288,319,8,71,1
FOTO 2018-01_1453_1_aug_903.jpg,343,372,5,65,1
FOTO 2018-01_1453_1_aug_903.jpg,397,425,2,81,1
10_0_64_2018 04 men_1844_1_aug_4700.jpg,4,51,10,100,1
10_0_64_2018 04 men_1844_1_aug_4700.jpg,89,136,10,101,1
10_0_64_2018 04 men_1844_1_aug_4700.jpg,176,222,12,103,1
10_0_64_2018 04 men_1844_1_aug_4700.jpg,261,309,13,105,1
10_0_64_2018 04 men_1844_1_aug_4700.jpg,352,397,5,103,1
10_0_64_2018 04 men_1844_1_aug_5461.jpg,13,61,9,100,1
10_0_64_2018 04 men_1844_1_aug_5461.jpg,98,146,14,106,1
10_0_64_2018 04 men_1844_1_aug_5461.jpg,185,232,20,111,1
10_0_64_2018 04 men_1844_1_aug_5461.jpg,269,318,25,118,1
10_0_64_2018 04 men_1844_1_aug_5461.jpg,360,406,22,120,1
FOTO 2018-01_47_2_aug_5416.jpg,1,26,15,129,1
FOTO 2018-01_47_2_aug_5416.jpg,75,124,18,126,1
FOTO 2018-01_47_2_aug_5416.jpg,172,220,20,130,1
FOTO 2018-01_47_2_aug_5416.jpg,268,314,20,132,1
FOTO 2018-01_47_2_aug_5416.jpg,364,408,26,137,1
FOTO 2018-01_47_2_aug_5416.jpg,458,503,26,142,1
FOTO 2018-01_47_2_aug_5416.jpg,554,603,33,145,1
FOTO 2018-01_47_2_aug_5416.jpg,647,696,36,150,1
6_1_00_2018 04 men_960_2_aug_4147.jpg,44,93,21,130,1
6_1_00_2018 04 men_960_2_aug_4147.jpg,153,203,24,128,1
6_1_00_2018 04 men_960_2_aug_4147.jpg,262,314,26,137,1
6_1_00_2018 04 men_960_2_aug_4147.jpg,370,423,28,141,1
6_1_00_2018 04 men_960_2_aug_4147.jpg,481,526,30,147,1
1_0_99_2018 04 men_1175_1_aug_3636.jpg,195,211,3,36,1
1_0_99_2018 04 men_1175_1_aug_3636.jpg,170,189,5,37,1
1_0_99_2018 04 men_1175_1_aug_3636.jpg,145,163,3,36,1
1_0_99_2018 04 men_1175_1_aug_3636.jpg,120,137,4,36,1
1_0_99_2018 04 men_1175_1_aug_3636.jpg,92,111,3,36,1
1_0_99_2018 04 men_1175_1_aug_3636.jpg,67,86,2,36,1
1_0_99_2018 04 men_1175_1_aug_3636.jpg,40,58,3,37,1
1_0_99_2018 04 men_1175_1_aug_3636.jpg,14,30,2,35,1
3_0_97_2018 04 men_4857_2_aug_5176.jpg,72,131,30,174,1
3_0_97_2018 04 men_4857_2_aug_5176.jpg,192,250,25,167,1
3_0_97_2018 04 men_4857_2_aug_5176.jpg,316,374,26,167,1
3_0_97_2018 04 men_4857_2_aug_5176.jpg,440,504,19,165,1
3_0_97_2018 04 men_4857_2_aug_5176.jpg,568,632,10,161,1
3_0_97_2018 04 men_4857_2_aug_5176.jpg,690,757,10,158,1
3_0_97_2018 04 men_4857_2_aug_5176.jpg,816,879,8,152,1
3_0_97_2018 04 men_4857_2_aug_5176.jpg,939,977,7,187,1
3_1_00_2018 04 men_1637_2_aug_2441.jpg,54,84,8,84,1
3_1_00_2018 04 men_1637_2_aug_2441.jpg,117,147,9,86,1
3_1_00_2018 04 men_1637_2_aug_2441.jpg,184,212,8,88,1
3_1_00_2018 04 men_1637_2_aug_2441.jpg,246,274,11,88,1
3_1_00_2018 04 men_1637_2_aug_2441.jpg,312,342,12,86,1
3_1_00_2018 04 men_1637_2_aug_2441.jpg,379,405,14,91,1
3_1_00_2018 04 men_1637_2_aug_2441.jpg,445,476,13,95,1
3_1_00_2018 04 men_1637_2_aug_2441.jpg,507,527,15,112,1
10_0_80_2018 04 men_3467_2_aug_6055.jpg,1,78,15,147,1
10_0_80_2018 04 men_3467_2_aug_6055.jpg,107,204,12,147,1
10_0_80_2018 04 men_3467_2_aug_6055.jpg,235,329,10,146,1
10_0_80_2018 04 men_3467_2_aug_6055.jpg,357,451,15,148,1
10_0_80_2018 04 men_3467_2_aug_6055.jpg,478,572,16,148,1
10_0_80_2018 04 men_3467_2_aug_6055.jpg,618,701,21,155,1
10_0_80_2018 04 men_3467_2_aug_6055.jpg,735,821,20,149,1
10_0_80_2018 04 men_3467_2_aug_6055.jpg,854,939,30,164,1
10_0_91_2018 04 men_2394_2_aug_6077.jpg,45,104,11,128,1
10_0_91_2018 04 men_2394_2_aug_6077.jpg,128,179,16,127,1
10_0_91_2018 04 men_2394_2_aug_6077.jpg,208,255,21,137,1
10_0_91_2018 04 men_2394_2_aug_6077.jpg,286,336,28,144,1
10_0_91_2018 04 men_2394_2_aug_6077.jpg,374,420,35,146,1
10_0_91_2018 04 men_2394_2_aug_6077.jpg,452,503,40,152,1
10_0_91_2018 04 men_2394_2_aug_6077.jpg,533,582,44,157,1
10_0_91_2018 04 men_2394_2_aug_6077.jpg,621,661,49,160,1
